iter	RMSE
128	0.5375887236
129	0.5346687817
130	0.5325212465
131	0.5316887605
132	0.5312295571
133	0.5282799467
134	0.5267586663
135	0.5240005422
136	0.523553622
137	0.5228559483
138	0.5194677561
139	0.5185651246
140	0.5157684805
141	0.5154551596
142	0.5148430378
143	0.5142821921
144	0.5137460141
145	0.5133857371
146	0.5128614968
147	0.5124438514
148	0.511486537
149	0.5109608858
150	0.5103884743
151	0.5098743137
152	0.5093074007
153	0.5086671395
154	0.5082647998
155	0.5055087447
156	0.5044083836
157	0.5039677891
158	0.5036650857
159	0.5007231413
160	0.5002295397
161	0.4993685244
162	0.4988975252
163	0.4961393188
164	0.4958968013
165	0.4933560893
166	0.4927920444
167	0.4925235965
168	0.4923282586
169	0.4920954888
170	0.4915868379
171	0.4909270982
172	0.4903932125
173	0.4888752638
174	0.4884334131
175	0.4881439286
176	0.4879462559
177	0.487627716
178	0.4872790482
179	0.4870570199
180	0.4866677783
181	0.4860635462
182	0.4856523672
183	0.4853905092
184	0.485059302
185	0.4845622924
186	0.4842417339
187	0.4838145337
188	0.4834263036
189	0.4831003982
190	0.4827372414
191	0.4824662419
192	0.4821246211
193	0.4814440932
194	0.4786929255
195	0.4782876928
196	0.4779787378
197	0.4778224247
198	0.4774106046
199	0.4771898632
200	0.4768367313
201	0.4748835561
202	0.4745778629
203	0.4744746195
204	0.4741508564
205	0.4739374009
206	0.4735581991
207	0.4708690973
208	0.4707775513
209	0.4705013174
210	0.4702241187
211	0.4672949322
212	0.4671377266
213	0.4646156964
214	0.4620581413
215	0.4615744851
216	0.4589020364
217	0.4587894025
218	0.4586676091
219	0.4584744092
220	0.455914889
221	0.4558326495
222	0.453477453
223	0.4510159627
224	0.4508385813
225	0.4485108176
226	0.4483100654
227	0.4478967644
228	0.4478191775
229	0.4472621199
230	0.4466330286
231	0.4463188502
232	0.4461776187
233	0.4455752943
234	0.4450437884
235	0.4444485805
236	0.4418609645
237	0.4395849286
238	0.4373694879
239	0.4371065475
240	0.4368351696
241	0.4346591171
242	0.4344177467
243	0.4322273523
244	0.431458423
245	0.429290123
246	0.4268672949
247	0.4248044375
248	0.4244459224
249	0.4221194635
250	0.4216513167
251	0.421424218
252	0.4211766822
253	0.4191655215
254	0.4185557963
255	0.4180056671
256	0.4177684085
257	0.415497893
258	0.4133926135
259	0.4114311156
260	0.4095030965
261	0.4091935507
262	0.4088707676
263	0.4086015812
264	0.4064545327
265	0.4058911113
266	0.405117178
267	0.4032458579
268	0.4014026184
269	0.4009441767
270	0.4007415666
271	0.3987162458
272	0.3985159074
273	0.3964717836
274	0.3962120775
275	0.3956919963
276	0.3937890567
277	0.3935945693
278	0.3931819827
279	0.3929913132
280	0.3925933046
281	0.3908413925
282	0.3903390856
283	0.3884781389
284	0.3882067455
285	0.3864855576
286	0.3846768607
287	0.3830191265
288	0.3813729506
289	0.3811856005
290	0.3794563731
291	0.37904436
292	0.3788605842
293	0.3772584213
294	0.3751350903
295	0.3734449333
296	0.3717796581
297	0.3701441098
298	0.3685388487
299	0.3665381335
300	0.3649793605
301	0.3643259221
302	0.3624946966
303	0.3620887678
304	0.3618351703
305	0.3612607004
306	0.3597476953
307	0.358125704
308	0.3575777963
309	0.3557965123
310	0.3554368794
311	0.3550604162
312	0.3547230178
313	0.3545031305
314	0.3539688799
315	0.3537529854
316	0.3521695522
317	0.3516392896
318	0.3514263238
319	0.3512175742
320	0.3510129562
321	0.3494524222
322	0.3478925167
323	0.3475704532
324	0.3473760015
325	0.3471402186
326	0.3469068014
327	0.3467666442
328	0.3449791238
329	0.3448383639
330	0.3447326831
331	0.342964511
332	0.3428649669
333	0.3427866876
334	0.3426908457
335	0.3422153088
336	0.3421167965
337	0.3406497894
338	0.3400364647
339	0.3399401188
340	0.339867421
341	0.3383974172
342	0.3383075031
343	0.3382373016
344	0.3373598697
345	0.3372692069
346	0.3372015261
347	0.3368636687
348	0.3367972546
349	0.335327906
350	0.33499821
351	0.3346930401
352	0.3346105497
353	0.3331756118
354	0.3331112116
355	0.3329220277
356	0.3314942874
357	0.3301005049
358	0.3298000698
359	0.3289520551
360	0.328869257
361	0.3285514004
362	0.3271773923
363	0.3267968503
364	0.3265074329
365	0.3262816568
366	0.3259718355
367	0.3256082678
368	0.3243490112
369	0.3239688911
370	0.3236174575
371	0.3224261743
372	0.3221494535
373	0.3218483145
374	0.3206881323
375	0.3205049873
376	0.3202379789
377	0.3201627142
378	0.3200079646
379	0.3197673313
380	0.3196921997
381	0.3185099977
382	0.3181718049
383	0.3178676209
384	0.3172665573
385	0.3169339723
386	0.3163531247
387	0.316056838
388	0.3157689724
389	0.3154891386
390	0.3150922387
391	0.3148195222
392	0.3145691785
393	0.3143038874
394	0.3138138074
395	0.3133390123
396	0.3124928916
397	0.3119402303
398	0.311779735
399	0.3106235064
400	0.3103853811
401	0.3101531508
402	0.3097103732
403	0.3094934582
404	0.3092682661
405	0.3088217439
406	0.3085171043
407	0.3082648177
408	0.3075874433
409	0.3074098512
410	0.3069510481
411	0.3068848333
412	0.3068323424
413	0.3067685564
414	0.3060350872
415	0.3050793915
416	0.3044037907
417	0.3042221114
418	0.304083486
419	0.3034330029
420	0.3032954207
421	0.3031606278
422	0.3029816598
423	0.3022936494
424	0.3021178174
425	0.3015084676
426	0.3011120033
427	0.3005243404
428	0.300399015
429	0.2992524426
430	0.2981468617
431	0.2975267973
432	0.2974008854
433	0.2968457287
434	0.2967180519
435	0.2965081094
436	0.2959198487
437	0.2953855474
438	0.295265765
439	0.2951491693
440	0.2940422836
441	0.2929777872
442	0.2928639383
443	0.2927505367
444	0.2926372421
445	0.2925291894
446	0.2924210855
447	0.291773951
448	0.29068787
449	0.2896403386
450	0.2885716957
451	0.2881780851
452	0.287071796
453	0.2869666902
454	0.2868637385
455	0.2864751392
456	0.2863701409
457	0.2857473804
458	0.284512317
459	0.2835216411
460	0.2831918212
461	0.2828699494
462	0.282320562
463	0.2813454786
464	0.281248205
465	0.2811522242
466	0.281058158
467	0.2808463445
468	0.2804544882
469	0.2799375186
470	0.2787514259
471	0.278660091
472	0.2774929553
473	0.2772040283
474	0.2766133335
475	0.2754729705
476	0.2747087032
477	0.2745378937
478	0.2734257444
479	0.273316605
480	0.2730369629
481	0.2727072724
482	0.2723895417
483	0.2722206229
484	0.2721194903
485	0.2720204065
486	0.2711337185
487	0.2710363069
488	0.2705582231
489	0.2703955596
490	0.2703016003
491	0.2702675739
492	0.270109342
493	0.2700657013
494	0.2699065347
495	0.269751576
496	0.2697188911
497	0.2696307618
498	0.2693096432
499	0.2692684339
500	0.2691174744
501	0.2690771627
502	0.2680201062
503	0.2676232683
504	0.2674812583
505	0.2664438738
506	0.266290876
507	0.2651726738
508	0.2650379971
509	0.2645568357
510	0.2642416984
511	0.26393658
512	0.2635099877
513	0.2631501372
514	0.2628673433
515	0.2620136662
516	0.2616223928
517	0.2613342337
518	0.2600199976
519	0.2589871193
520	0.2579716866
521	0.2569734082
522	0.2559919994
523	0.2550271813
524	0.2540786808
525	0.25314623
526	0.2530484856
527	0.2521314752
528	0.2512299998
529	0.2503438067
530	0.249494269
531	0.2492215754
532	0.2483637951
533	0.2475205986
534	0.2471644437
535	0.2463551259
536	0.2462601844
537	0.2451471987
538	0.2440642191
539	0.2432686161
540	0.2430747513
541	0.2423113811
542	0.2415606982
543	0.2408031332
544	0.2400585327
545	0.2399636593
546	0.2396100126
547	0.238895331
548	0.2387042012
549	0.238244577
550	0.2381542874
551	0.2374313191
552	0.2373391903
553	0.2372518805
554	0.2365588223
555	0.2363744703
556	0.2353984052
557	0.2349605888
558	0.2341345268
559	0.2334528575
560	0.2328016453
561	0.2326248127
562	0.2325385624
563	0.2324539515
564	0.2323709494
565	0.2321982416
566	0.2315377992
567	0.2314564544
568	0.2313766575
569	0.2309600784
570	0.2303407785
571	0.2302634382
572	0.2298666328
573	0.229790706
574	0.2291563618
575	0.2285140934
576	0.2277542016
577	0.2270715833
578	0.2264015642
579	0.2257439213
580	0.22518945
581	0.2250193132
582	0.2246928493
583	0.2241364793
584	0.2239735726
585	0.2234277283
586	0.2230311639
587	0.2224180492
588	0.2222580709
589	0.2221770039
590	0.2221082241
591	0.2220299049
592	0.2218732156
593	0.2214910713
594	0.2209092435
595	0.2208323614
596	0.2205298087
597	0.2204644077
598	0.2203898422
599	0.2202396266
600	0.220176632
601	0.2201045246
602	0.2194097716
603	0.2189172948
604	0.2188561715
605	0.218620253
606	0.2183639902
607	0.2181367056
608	0.2179309995
609	0.2178719646
610	0.2175168162
611	0.2173195434
612	0.2167355378
613	0.2165173359
614	0.2159442095
615	0.2156012068
616	0.2150376539
617	0.2147197514
618	0.2145575778
619	0.2140079045
620	0.2136601382
621	0.2131605625
622	0.2128266841
623	0.2126427062
624	0.2125743663
625	0.2120327508
626	0.2117125507
627	0.211645205
628	0.211588564
629	0.2114378581
630	0.2111306127
631	0.2110750462
632	0.2105423163
633	0.2103274953
634	0.2102628439
635	0.2101001411
636	0.2095768879
637	0.2095133095
638	0.2092977058
639	0.2090892694
640	0.2090332344
641	0.2089808157
642	0.2088233823
643	0.2083170272
644	0.2082561795
645	0.2081223534
646	0.2075809557
647	0.2074465745
648	0.2073187324
649	0.2067867091
650	0.2062646195
651	0.2057522845
652	0.2052495281
653	0.2051479744
654	0.2050153237
655	0.2047405804
656	0.2043298765
657	0.2039264739
658	0.2037989645
659	0.2036988425
660	0.203216864
661	0.2029440197
662	0.2028462248
663	0.2025701066
664	0.202178924
665	0.2019405399
666	0.2014976344
667	0.2011187417
668	0.2009266564
669	0.200554577
670	0.2004203425
671	0.2002957645
672	0.1999281235
673	0.1997812418
674	0.199555948
675	0.1994147964
676	0.1990527077
677	0.1988875557
678	0.1985092747
679	0.1983798054
680	0.1980522415
681	0.1976947347
682	0.1973436604
683	0.1971304215
684	0.1966735529
685	0.1963335705
686	0.1961899716
687	0.1961355235
688	0.1958103566
689	0.1956638055
690	0.1955087981
691	0.1950733762
692	0.195019876
693	0.1945940485
694	0.1941776967
695	0.1936290363
696	0.1932215457
697	0.1928230609
698	0.1924333592
699	0.1921246096
700	0.1916841215
701	0.1913802413
702	0.1909177938
703	0.190617761
704	0.1905240058
705	0.190170078
706	0.1898747966
707	0.1896007709
708	0.1895087087
709	0.1892187468
710	0.1889035899
711	0.1886174154
712	0.1882513969
713	0.187970438
714	0.1876948347
715	0.1874023786
